Zone Timestep,ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate[W]
2009-Jan-01 00:10:00,317.0837293998626
2009-Jan-01 00:20:00,326.32210809042385
2009-Jan-01 00:30:00,329.65732725577885
2009-Jan-01 00:40:00,307.8808810937298
2009-Jan-01 00:50:00,304.1245481433293
2009-Jan-01 01:00:00,300.41437231423674
2009-Jan-01 01:10:00,310.74111692262557
2009-Jan-01 01:20:00,321.69580565115166
2009-Jan-01 01:30:00,330.9286248432662
2009-Jan-01 01:40:00,339.96250502727116
2009-Jan-01 01:50:00,348.0172405806938
2009-Jan-01 02:00:00,353.97574109224024
2009-Jan-01 02:10:00,361.25634166385305
2009-Jan-01 02:20:00,364.9869402045967
2009-Jan-01 02:30:00,370.10142497765924
2009-Jan-01 02:40:00,373.10264652610726
2009-Jan-01 02:50:00,376.89953931694356
2009-Jan-01 03:00:00,379.1009375013987
2009-Jan-01 03:10:00,382.02293409353996
2009-Jan-01 03:20:00,384.2021319833208
2009-Jan-01 03:30:00,385.6567483669575
2009-Jan-01 03:40:00,387.2334725206078
2009-Jan-01 03:50:00,388.6092273826007
2009-Jan-01 04:00:00,389.3299541617545
2009-Jan-01 04:10:00,390.8449952030233
2009-Jan-01 04:20:00,392.2872373184698
2009-Jan-01 04:30:00,393.0075129589856
2009-Jan-01 04:40:00,394.4813666382712
2009-Jan-01 04:50:00,394.49369230128116
2009-Jan-01 05:00:00,395.2152480343427
2009-Jan-01 05:10:00,362.22494213884494
2009-Jan-01 05:20:00,364.31880180199266
2009-Jan-01 05:30:00,364.3292815034041
2009-Jan-01 05:40:00,365.17614492287066
2009-Jan-01 05:50:00,364.3576571640571
2009-Jan-01 06:00:00,365.92206787291025
2009-Jan-01 06:10:00,2696.0145527694426
2009-Jan-01 06:20:00,2585.4792355050004
2009-Jan-01 06:30:00,2444.8598775346995
2009-Jan-01 06:40:00,2287.1807535083253
2009-Jan-01 06:50:00,1761.7523392133744
2009-Jan-01 07:00:00,1515.1540757766024
2009-Jan-01 07:10:00,1356.4757937091672
2009-Jan-01 07:20:00,1249.9374564390635
2009-Jan-01 07:30:00,1195.127324506296
2009-Jan-01 07:40:00,1148.465724089998
2009-Jan-01 07:50:00,1109.172644446987
2009-Jan-01 08:00:00,1080.0226004511612
2009-Jan-01 08:10:00,182.57329677198254
2009-Jan-01 08:20:00,214.607479699309
2009-Jan-01 08:30:00,186.4817621412374
2009-Jan-01 08:40:00,184.48242920773856
2009-Jan-01 08:50:00,175.15924507585882
2009-Jan-01 09:00:00,167.82319355394665
2009-Jan-01 09:10:00,158.59653220278463
2009-Jan-01 09:20:00,150.77769044171092
2009-Jan-01 09:30:00,142.43176806826784
2009-Jan-01 09:40:00,134.68096977952513
2009-Jan-01 09:50:00,126.54905565567853
2009-Jan-01 10:00:00,119.08482366216488
