Zone Timestep,SURFACE 102:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 106:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 110:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 116:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2]
2009-Jan-01 00:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 00:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 00:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 00:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 00:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 01:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 01:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 01:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 01:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 01:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 01:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 02:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 02:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 02:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 02:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 02:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 02:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 03:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 03:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 03:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 03:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 03:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 03:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 04:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 04:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 04:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 04:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 04:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 04:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 05:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 05:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 05:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 05:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 05:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 05:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 06:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 06:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 06:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 06:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 06:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 06:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 07:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 07:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 07:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 07:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 07:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 07:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 08:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 08:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 08:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 08:30:00,1.018425159650262,1.0184247696342716,1.018425159650262,1.0184251596502625
2009-Jan-01 08:40:00,2.1296440779823733,2.1296432616724466,2.1296440779823733,2.129644077982374
2009-Jan-01 08:50:00,3.243958593859283,3.243957349780231,3.243958593859283,3.243958593859285
2009-Jan-01 09:00:00,4.360350045591468,4.3603483727535375,4.360350045591468,4.36035004559147
2009-Jan-01 09:10:00,5.478650852479107,5.478648749972407,5.478650852479107,5.4786508524791095
2009-Jan-01 09:20:00,6.598832944067149,6.598830410995161,6.598832944067149,6.598832944067152
2009-Jan-01 09:30:00,7.720881659232965,7.720878694706162,7.720881659232965,7.720881659232969
2009-Jan-01 09:40:00,9.279781930296192,9.279778365847417,9.279781930296192,9.279781930296195
2009-Jan-01 09:50:00,10.842008800222347,10.842004634266326,10.842008800222347,10.842008800222352
2009-Jan-01 10:00:00,12.407403935854619,12.407399166881532,12.407403935854619,12.407403935854624
2009-Jan-01 10:10:00,13.975865597279007,13.975860223827524,13.975865597279007,13.975865597279014
2009-Jan-01 10:20:00,15.54733002409646,15.547324044735625,15.54733002409646,15.54733002409647
2009-Jan-01 10:30:00,17.12176351967355,17.12175693298847,17.12176351967355,17.121763519673557
2009-Jan-01 10:40:00,18.08298194573156,18.082974988349637,18.08298194573156,18.08298194573157
2009-Jan-01 10:50:00,19.045633028000154,19.045625699238656,19.045633028000154,19.045633028000164
2009-Jan-01 11:00:00,20.009695112469245,20.00968741165577,20.009695112469245,20.009695112469256
2009-Jan-01 11:10:00,20.9751694289766,20.97516135543816,20.9751694289766,20.97516942897661
2009-Jan-01 11:20:00,21.942082855780072,21.94207440883087,21.942082855780072,21.942082855780082
2009-Jan-01 11:30:00,22.910491889622772,22.91048306855008,22.910491889622772,22.910491889622783
2009-Jan-01 11:40:00,22.996400351338266,22.996391497268775,22.996400351338266,22.996400351338277
2009-Jan-01 11:50:00,23.083082024909558,23.0830731374748,23.083082024909558,23.08308202490957
2009-Jan-01 12:00:00,23.170457218085833,23.170448296955318,23.170457218085833,23.170457218085843
2009-Jan-01 12:10:00,23.258490271335553,23.258481316195784,23.258490271335553,23.258490271335567
2009-Jan-01 12:20:00,23.347187859959583,23.347178870493877,23.347187859959583,23.347187859959597
2009-Jan-01 12:30:00,23.43659949953696,23.436590475405037,23.43659949953696,23.43659949953697
2009-Jan-01 12:40:00,22.731502527148905,22.73149377548779,22.731502527148905,22.73150252714892
2009-Jan-01 12:50:00,22.027517916097366,22.02750943637696,22.027517916097366,22.027517916097377
2009-Jan-01 13:00:00,21.324585023533437,21.324576815252563,21.324585023533437,21.324585023533448
2009-Jan-01 13:10:00,20.622678701617065,20.622670764286504,20.622678701617065,20.622678701617076
2009-Jan-01 13:20:00,19.92180635794103,19.92179869106805,19.92180635794103,19.921806357941044
2009-Jan-01 13:30:00,19.2220067054635,19.221999308536915,19.2220067054635,19.222006705463507
2009-Jan-01 13:40:00,17.81938912204688,17.81938226645143,17.81938912204688,17.81938912204689
2009-Jan-01 13:50:00,16.419175612907633,16.419169297497675,16.419175612907633,16.41917561290764
2009-Jan-01 14:00:00,15.02135177216586,15.021345995802607,15.02135177216586,15.021351772165868
2009-Jan-01 14:10:00,13.625922004510711,13.625916766053281,13.625922004510711,13.625922004510718
2009-Jan-01 14:20:00,12.232906330698093,12.232901628996064,12.232906330698093,12.232906330698102
2009-Jan-01 14:30:00,10.842338432951035,10.842334266837929,10.842338432951035,10.84233843295104
2009-Jan-01 14:40:00,9.454265551826705,9.454261920113538,9.454265551826705,9.45426555182671
2009-Jan-01 14:50:00,8.068751796904351,8.068748698371587,8.068751796904351,8.068751796904355
2009-Jan-01 15:00:00,6.6858888654770645,6.685886298861467,6.6858888654770645,6.685888865477068
2009-Jan-01 15:10:00,5.305824974980629,5.30582293894833,5.305824974980629,5.305824974980632
2009-Jan-01 15:20:00,3.928843893475457,3.9288423865573607,3.928843893475457,3.928843893475459
2009-Jan-01 15:30:00,2.555598954341746,2.555597974757415,2.555598954341746,2.555598954341747
2009-Jan-01 15:40:00,2.1298628308554632,2.1298620144412914,2.1298628308554632,2.1298628308554646
2009-Jan-01 15:50:00,1.7046731216394049,1.7046724681350014,1.7046731216394049,1.7046731216394058
2009-Jan-01 16:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 16:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 17:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 18:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:00:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:10:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:20:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:30:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:40:00,0.0,0.0,0.0,0.0
2009-Jan-01 19:50:00,0.0,0.0,0.0,0.0
2009-Jan-01 20:00:00,0.0,0.0,0.0,0.0
