Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2009-Jan-01 00:10:00,5.183333333333334
2009-Jan-01 00:20:00,5.466666666666667
2009-Jan-01 00:30:00,5.75
2009-Jan-01 00:40:00,6.033333333333333
2009-Jan-01 00:50:00,6.316666666666666
2009-Jan-01 01:00:00,6.6
2009-Jan-01 01:10:00,6.633333333333333
2009-Jan-01 01:20:00,6.666666666666667
2009-Jan-01 01:30:00,6.699999999999999
2009-Jan-01 01:40:00,6.733333333333333
2009-Jan-01 01:50:00,6.766666666666667
2009-Jan-01 02:00:00,6.8
2009-Jan-01 02:10:00,6.833333333333334
2009-Jan-01 02:20:00,6.866666666666667
2009-Jan-01 02:30:00,6.9
2009-Jan-01 02:40:00,6.933333333333334
2009-Jan-01 02:50:00,6.966666666666667
2009-Jan-01 03:00:00,7.0
2009-Jan-01 03:10:00,7.033333333333334
2009-Jan-01 03:20:00,7.066666666666666
2009-Jan-01 03:30:00,7.1
2009-Jan-01 03:40:00,7.133333333333333
2009-Jan-01 03:50:00,7.166666666666666
2009-Jan-01 04:00:00,7.2
2009-Jan-01 04:10:00,7.216666666666667
2009-Jan-01 04:20:00,7.233333333333334
2009-Jan-01 04:30:00,7.25
2009-Jan-01 04:40:00,7.266666666666667
2009-Jan-01 04:50:00,7.283333333333333
2009-Jan-01 05:00:00,7.3
2009-Jan-01 05:10:00,7.316666666666666
2009-Jan-01 05:20:00,7.333333333333334
2009-Jan-01 05:30:00,7.35
2009-Jan-01 05:40:00,7.366666666666667
2009-Jan-01 05:50:00,7.383333333333333
2009-Jan-01 06:00:00,7.4
2009-Jan-01 06:10:00,7.333333333333334
2009-Jan-01 06:20:00,7.2666666666666675
2009-Jan-01 06:30:00,7.2
2009-Jan-01 06:40:00,7.133333333333333
2009-Jan-01 06:50:00,7.066666666666667
2009-Jan-01 07:00:00,7.0
2009-Jan-01 07:10:00,7.083333333333334
2009-Jan-01 07:20:00,7.166666666666667
2009-Jan-01 07:30:00,7.25
2009-Jan-01 07:40:00,7.333333333333334
2009-Jan-01 07:50:00,7.416666666666666
2009-Jan-01 08:00:00,7.5
2009-Jan-01 08:10:00,7.533333333333333
2009-Jan-01 08:20:00,7.566666666666667
2009-Jan-01 08:30:00,7.6
2009-Jan-01 08:40:00,7.633333333333333
2009-Jan-01 08:50:00,7.666666666666667
2009-Jan-01 09:00:00,7.7
2009-Jan-01 09:10:00,7.75
2009-Jan-01 09:20:00,7.800000000000001
2009-Jan-01 09:30:00,7.85
2009-Jan-01 09:40:00,7.9
2009-Jan-01 09:50:00,7.95
2009-Jan-01 10:00:00,8.0
2009-Jan-01 10:10:00,7.933333333333334
2009-Jan-01 10:20:00,7.866666666666667
2009-Jan-01 10:30:00,7.8
2009-Jan-01 10:40:00,7.733333333333333
2009-Jan-01 10:50:00,7.666666666666666
2009-Jan-01 11:00:00,7.6
2009-Jan-01 11:10:00,7.716666666666667
2009-Jan-01 11:20:00,7.833333333333334
2009-Jan-01 11:30:00,7.95
2009-Jan-01 11:40:00,8.066666666666666
2009-Jan-01 11:50:00,8.183333333333334
2009-Jan-01 12:00:00,8.3
2009-Jan-01 12:10:00,8.316666666666668
2009-Jan-01 12:20:00,8.333333333333334
2009-Jan-01 12:30:00,8.350000000000001
2009-Jan-01 12:40:00,8.366666666666667
2009-Jan-01 12:50:00,8.383333333333335
2009-Jan-01 13:00:00,8.4
2009-Jan-01 13:10:00,8.466666666666669
2009-Jan-01 13:20:00,8.533333333333335
2009-Jan-01 13:30:00,8.600000000000001
2009-Jan-01 13:40:00,8.666666666666668
2009-Jan-01 13:50:00,8.733333333333334
2009-Jan-01 14:00:00,8.8
2009-Jan-01 14:10:00,8.816666666666666
2009-Jan-01 14:20:00,8.833333333333336
