Zone Timestep,ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate[W]
2009-Jan-01 00:10:00,2754.1874493932955
2009-Jan-01 00:20:00,2753.0496107967415
2009-Jan-01 00:30:00,2746.33443627628
2009-Jan-01 00:40:00,2737.6238692351662
2009-Jan-01 00:50:00,2727.5645890527067
2009-Jan-01 01:00:00,2717.5463627504187
2009-Jan-01 01:10:00,2707.18311475385
2009-Jan-01 01:20:00,2701.646356763239
2009-Jan-01 01:30:00,2700.061167980419
2009-Jan-01 01:40:00,2699.4880927249687
2009-Jan-01 01:50:00,2698.3891194162493
2009-Jan-01 02:00:00,2696.7718623695787
2009-Jan-01 02:10:00,2695.3721758877778
2009-Jan-01 02:20:00,2691.6529573456114
2009-Jan-01 02:30:00,2685.9563795668805
2009-Jan-01 02:40:00,2678.9168730311285
2009-Jan-01 02:50:00,2668.112800684232
2009-Jan-01 03:00:00,2668.749861589359
2009-Jan-01 03:10:00,2665.4081633470782
2009-Jan-01 03:20:00,2664.2021703585774
2009-Jan-01 03:30:00,2665.492004380162
2009-Jan-01 03:40:00,2665.7305561579406
2009-Jan-01 03:50:00,2672.0322166444603
2009-Jan-01 04:00:00,2676.8502395918
2009-Jan-01 04:10:00,2680.3533271918645
2009-Jan-01 04:20:00,2681.7156760961543
2009-Jan-01 04:30:00,2681.712798966716
2009-Jan-01 04:40:00,2681.4334058038694
2009-Jan-01 04:50:00,2681.362043717224
2009-Jan-01 05:00:00,2681.4546246787268
2009-Jan-01 05:10:00,2681.51975772237
2009-Jan-01 05:20:00,2678.4032567553295
2009-Jan-01 05:30:00,2674.485903853336
2009-Jan-01 05:40:00,2671.467747225751
2009-Jan-01 05:50:00,2669.2896812782437
2009-Jan-01 06:00:00,2667.0436037837285
2009-Jan-01 06:10:00,2664.1527815448376
2009-Jan-01 06:20:00,2653.355812086404
2009-Jan-01 06:30:00,2642.2350679036085
2009-Jan-01 06:40:00,2634.9196227835223
2009-Jan-01 06:50:00,2634.417573288756
2009-Jan-01 07:00:00,2634.9325029426545
2009-Jan-01 07:10:00,2633.8048455256094
2009-Jan-01 07:20:00,2627.5768708378323
2009-Jan-01 07:30:00,2630.922839539422
2009-Jan-01 07:40:00,2629.1850229050046
2009-Jan-01 07:50:00,2627.6124175767536
2009-Jan-01 08:00:00,2626.0187602352794
2009-Jan-01 08:10:00,2622.496403437429
2009-Jan-01 08:20:00,2613.7744460820577
2009-Jan-01 08:30:00,2587.780397191272
2009-Jan-01 08:40:00,2582.7850852815536
2009-Jan-01 08:50:00,2583.3051791847074
2009-Jan-01 09:00:00,2583.825844003386
2009-Jan-01 09:10:00,2583.2560013139446
2009-Jan-01 09:20:00,2580.687372578704
2009-Jan-01 09:30:00,2577.3538254790724
2009-Jan-01 09:40:00,2573.9653194642347
2009-Jan-01 09:50:00,2570.741487742104
2009-Jan-01 10:00:00,2567.607486795471
2009-Jan-01 10:10:00,2564.593459260335
2009-Jan-01 10:20:00,2561.987092162076
2009-Jan-01 10:30:00,2559.8786784749077
2009-Jan-01 10:40:00,2557.9803939989542
2009-Jan-01 10:50:00,2556.1020032324027
2009-Jan-01 11:00:00,2554.1933492095923
2009-Jan-01 11:10:00,2552.139948408965
2009-Jan-01 11:20:00,2550.3544122357557
2009-Jan-01 11:30:00,2548.6670000971185
2009-Jan-01 11:40:00,2547.0080239088184
2009-Jan-01 11:50:00,2545.397249400753
2009-Jan-01 12:00:00,2543.7938094074816
2009-Jan-01 12:10:00,2542.4720594954597
2009-Jan-01 12:20:00,2544.596819989964
2009-Jan-01 12:30:00,2546.3982873767086
2009-Jan-01 12:40:00,2546.4492189575662
2009-Jan-01 12:50:00,2545.4754817843796
2009-Jan-01 13:00:00,2544.365429906971
2009-Jan-01 13:10:00,2543.3288628806745
2009-Jan-01 13:20:00,2538.158425713331
2009-Jan-01 13:30:00,2532.690856055477
2009-Jan-01 13:40:00,2528.952974716297
2009-Jan-01 13:50:00,2526.384592978944
2009-Jan-01 14:00:00,2524.000428837141
2009-Jan-01 14:10:00,2521.340190754939
2009-Jan-01 14:20:00,2519.809511863774
2009-Jan-01 14:30:00,2519.018829153507
2009-Jan-01 14:40:00,2520.898524006433
2009-Jan-01 14:50:00,2522.179074854197
2009-Jan-01 15:00:00,2522.924077163812
2009-Jan-01 15:10:00,2523.506170084117
2009-Jan-01 15:20:00,2523.0595976796703
2009-Jan-01 15:30:00,2521.8018745021295
2009-Jan-01 15:40:00,2520.6091669449584
2009-Jan-01 15:50:00,2517.0475831196013
2009-Jan-01 16:00:00,2514.1240965340235
2009-Jan-01 16:10:00,2511.8914140385714
2009-Jan-01 16:20:00,2511.3974459827887
2009-Jan-01 16:30:00,2512.039952310832
2009-Jan-01 16:40:00,2515.4371636387955
2009-Jan-01 16:50:00,2518.170794837132
2009-Jan-01 17:00:00,2520.3619101486943
2009-Jan-01 17:10:00,2522.382348410102
2009-Jan-01 17:20:00,2530.062889806915
2009-Jan-01 17:30:00,2537.4168734336445
2009-Jan-01 17:40:00,2542.1336613017993
2009-Jan-01 17:50:00,2545.644002098069
2009-Jan-01 18:00:00,2548.4360142351306
2009-Jan-01 18:10:00,2551.3505289188643
2009-Jan-01 18:20:00,2561.3700543338364
2009-Jan-01 18:30:00,2569.6503030903227
2009-Jan-01 18:40:00,2581.829523812407
2009-Jan-01 18:50:00,2586.686995076136
2009-Jan-01 19:00:00,2589.63843597989
2009-Jan-01 19:10:00,2592.6314017806926
2009-Jan-01 19:20:00,2594.7240166722204
2009-Jan-01 19:30:00,2595.3086343264877
2009-Jan-01 19:40:00,2594.125825278065
2009-Jan-01 19:50:00,2594.528095519166
2009-Jan-01 20:00:00,2595.0823104738397
2009-Jan-01 20:10:00,2595.9015058419786
2009-Jan-01 20:20:00,2609.1052669588785
2009-Jan-01 20:30:00,2629.279063148202
2009-Jan-01 20:40:00,2636.9803958860534
2009-Jan-01 20:50:00,2651.2978278969904
2009-Jan-01 21:00:00,2661.252567948162
2009-Jan-01 21:10:00,2668.7674196924095
2009-Jan-01 21:20:00,2671.0724473977057
2009-Jan-01 21:30:00,2669.7563293185653
2009-Jan-01 21:40:00,2667.5031766283414
2009-Jan-01 21:50:00,2665.6365403925893
2009-Jan-01 22:00:00,2664.085275137978
2009-Jan-01 22:10:00,2663.908922372045
2009-Jan-01 22:20:00,2697.1752355955246
2009-Jan-01 22:30:00,2723.15452581543
2009-Jan-01 22:40:00,2727.1049742735036
2009-Jan-01 22:50:00,2724.22624765761
2009-Jan-01 23:00:00,2722.367222005204
2009-Jan-01 23:10:00,2723.7083762446314
2009-Jan-01 23:20:00,2729.2383522857867
2009-Jan-01 23:30:00,2735.555731952445
2009-Jan-01 23:40:00,2740.801087530287
2009-Jan-01 23:50:00,2745.265567648909
2009-Jan-02 00:00:00,2749.6639837825737
2009-Jan-02 00:10:00,2754.113345605949
2009-Jan-02 00:20:00,2754.767094017141
2009-Jan-02 00:30:00,2751.3835871434358
2009-Jan-02 00:40:00,2746.3963801392865
2009-Jan-02 00:50:00,2741.424428576569
2009-Jan-02 01:00:00,2736.669209352598
2009-Jan-02 01:10:00,2731.8225624332345
2009-Jan-02 01:20:00,2729.534747861372
2009-Jan-02 01:30:00,2729.4795388417683
2009-Jan-02 01:40:00,2730.009923215057
2009-Jan-02 01:50:00,2730.2521775555065
2009-Jan-02 02:00:00,2730.2203075311913
2009-Jan-02 02:10:00,2730.1592889224653
2009-Jan-02 02:20:00,2731.5542850521983
2009-Jan-02 02:30:00,2734.1045977065596
2009-Jan-02 02:40:00,2736.920237480604
2009-Jan-02 02:50:00,2739.5687032250607
2009-Jan-02 03:00:00,2742.080661787518
2009-Jan-02 03:10:00,2744.6113277740988
2009-Jan-02 03:20:00,2744.934287781742
2009-Jan-02 03:30:00,2743.4791317237614
2009-Jan-02 03:40:00,2741.538526895742
2009-Jan-02 03:50:00,2739.7788246976575
2009-Jan-02 04:00:00,2738.182069132971
2009-Jan-02 04:10:00,2736.4811171571764
2009-Jan-02 04:20:00,2733.242300762774
2009-Jan-02 04:30:00,2728.5609875797522
2009-Jan-02 04:40:00,2723.5504427958317
2009-Jan-02 04:50:00,2717.423640721781
2009-Jan-02 05:00:00,2711.105542129054
2009-Jan-02 05:10:00,2704.900190863013
2009-Jan-02 05:20:00,2699.0772148895076
2009-Jan-02 05:30:00,2695.5773240820204
2009-Jan-02 05:40:00,2694.101547108673
2009-Jan-02 05:50:00,2693.0416886054004
2009-Jan-02 06:00:00,2691.6261584248127
2009-Jan-02 06:10:00,2689.9669128251953
2009-Jan-02 06:20:00,2672.008101136561
2009-Jan-02 06:30:00,2661.0237865476633
2009-Jan-02 06:40:00,2652.8861123284732
2009-Jan-02 06:50:00,2650.765168385254
2009-Jan-02 07:00:00,2649.8541885517175
2009-Jan-02 07:10:00,2647.388648305807
2009-Jan-02 07:20:00,2645.5897067470924
2009-Jan-02 07:30:00,2645.188919181903
2009-Jan-02 07:40:00,2642.713943360288
2009-Jan-02 07:50:00,2640.739359314214
2009-Jan-02 08:00:00,2639.0279685856754
2009-Jan-02 08:10:00,2633.870685142514
2009-Jan-02 08:20:00,2607.4052182590985
2009-Jan-02 08:30:00,2601.48211055563
