Time,THERMAL CO-WORKING:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL CO-WORKING::Des Sens Cool Load [W],THERMAL CO-WORKING:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL CO-WORKING::Des Cool Mass Flow [kg/s],THERMAL CORRIDOR:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL CORRIDOR::Des Sens Cool Load [W],THERMAL CORRIDOR:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL CORRIDOR::Des Cool Mass Flow [kg/s],THERMAL ELEVATOR:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ELEVATOR::Des Sens Cool Load [W],THERMAL ELEVATOR:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ELEVATOR::Des Cool Mass Flow [kg/s],THERMAL ENTRANCE:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ENTRANCE::Des Sens Cool Load [W],THERMAL ENTRANCE:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ENTRANCE::Des Cool Mass Flow [kg/s],THERMAL LAB NORTH::Des Heat Load [W],THERMAL LAB NORTH::Des Sens Cool Load [W],THERMAL LAB NORTH::Des Heat Mass Flow [kg/s],THERMAL LAB NORTH::Des Cool Mass Flow [kg/s],THERMAL LAB SOUTH:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL LAB SOUTH::Des Sens Cool Load [W],THERMAL LAB SOUTH:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL LAB SOUTH::Des Cool Mass Flow [kg/s],THERMAL MEETING ROOM NORTH:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL MEETING ROOM NORTH::Des Sens Cool Load [W],THERMAL MEETING ROOM NORTH:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL MEETING ROOM NORTH::Des Cool Mass Flow [kg/s],THERMAL MEETING ROOM SOUTH:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL MEETING ROOM SOUTH::Des Sens Cool Load [W],THERMAL MEETING ROOM SOUTH:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL MEETING ROOM SOUTH::Des Cool Mass Flow [kg/s],THERMAL NERD ROOM 1:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL NERD ROOM 1::Des Sens Cool Load [W],THERMAL NERD ROOM 1:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL NERD ROOM 1::Des Cool Mass Flow [kg/s],THERMAL NERD ROOM 2:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL NERD ROOM 2::Des Sens Cool Load [W],THERMAL NERD ROOM 2:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL NERD ROOM 2::Des Cool Mass Flow [kg/s],THERMAL RESTROOM M:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL RESTROOM M::Des Sens Cool Load [W],THERMAL RESTROOM M:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL RESTROOM M::Des Cool Mass Flow [kg/s],THERMAL RESTROOM W:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL RESTROOM W::Des Sens Cool Load [W],THERMAL RESTROOM W:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL RESTROOM W::Des Cool Mass Flow [kg/s],THERMAL SPACE 01:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL SPACE 01::Des Sens Cool Load [W],THERMAL SPACE 01:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL SPACE 01::Des Cool Mass Flow [kg/s],THERMAL STAIRWAY:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL STAIRWAY::Des Sens Cool Load [W],THERMAL STAIRWAY:BERLIN ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL STAIRWAY::Des Cool Mass Flow [kg/s]
00:10:00,1.744744E+04,0.000000E+00,9.005354E-01,0.000000E+00,1.467200E+04,0.000000E+00,7.572833E-01,0.000000E+00,1.429960E+04,0.000000E+00,7.380620E-01,0.000000E+00,1.877270E+04,0.000000E+00,9.689376E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670586E+04,0.000000E+00,8.622594E-01,0.000000E+00,1.523012E+04,0.000000E+00,7.860900E-01,0.000000E+00,1.523982E+04,0.000000E+00,7.865907E-01,0.000000E+00,1.500958E+04,0.000000E+00,7.747073E-01,0.000000E+00,1.498712E+04,0.000000E+00,7.735480E-01,0.000000E+00,1.431414E+04,0.000000E+00,7.388128E-01,0.000000E+00,1.470129E+04,0.000000E+00,7.587951E-01,0.000000E+00,1.510152E+04,0.000000E+00,7.794523E-01,0.000000E+00,1.486071E+04,0.000000E+00,7.670235E-01,0.000000E+00
00:20:00,1.744748E+04,0.000000E+00,9.005374E-01,0.000000E+00,1.467201E+04,0.000000E+00,7.572836E-01,0.000000E+00,1.429960E+04,0.000000E+00,7.380623E-01,0.000000E+00,1.877331E+04,0.000000E+00,9.689689E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670589E+04,0.000000E+00,8.622606E-01,0.000000E+00,1.523044E+04,0.000000E+00,7.861067E-01,0.000000E+00,1.523983E+04,0.000000E+00,7.865912E-01,0.000000E+00,1.500959E+04,0.000000E+00,7.747075E-01,0.000000E+00,1.498712E+04,0.000000E+00,7.735480E-01,0.000000E+00,1.431414E+04,0.000000E+00,7.388129E-01,0.000000E+00,1.470129E+04,0.000000E+00,7.587952E-01,0.000000E+00,1.510153E+04,0.000000E+00,7.794529E-01,0.000000E+00,1.486072E+04,0.000000E+00,7.670241E-01,0.000000E+00
00:30:00,1.744752E+04,0.000000E+00,9.005393E-01,0.000000E+00,1.467201E+04,0.000000E+00,7.572839E-01,0.000000E+00,1.429961E+04,0.000000E+00,7.380626E-01,0.000000E+00,1.877388E+04,0.000000E+00,9.689982E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670591E+04,0.000000E+00,8.622617E-01,0.000000E+00,1.523074E+04,0.000000E+00,7.861223E-01,0.000000E+00,1.523984E+04,0.000000E+00,7.865918E-01,0.000000E+00,1.500959E+04,0.000000E+00,7.747077E-01,0.000000E+00,1.498712E+04,0.000000E+00,7.735480E-01,0.000000E+00,1.431415E+04,0.000000E+00,7.388129E-01,0.000000E+00,1.470129E+04,0.000000E+00,7.587952E-01,0.000000E+00,1.510154E+04,0.000000E+00,7.794534E-01,0.000000E+00,1.486073E+04,0.000000E+00,7.670246E-01,0.000000E+00
00:40:00,1.744755E+04,0.000000E+00,9.005410E-01,0.000000E+00,1.467202E+04,0.000000E+00,7.572841E-01,0.000000E+00,1.429962E+04,0.000000E+00,7.380629E-01,0.000000E+00,1.877441E+04,0.000000E+00,9.690257E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670593E+04,0.000000E+00,8.622628E-01,0.000000E+00,1.523103E+04,0.000000E+00,7.861369E-01,0.000000E+00,1.523985E+04,0.000000E+00,7.865923E-01,0.000000E+00,1.500959E+04,0.000000E+00,7.747079E-01,0.000000E+00,1.498712E+04,0.000000E+00,7.735480E-01,0.000000E+00,1.431415E+04,0.000000E+00,7.388130E-01,0.000000E+00,1.470129E+04,0.000000E+00,7.587953E-01,0.000000E+00,1.510155E+04,0.000000E+00,7.794539E-01,0.000000E+00,1.486074E+04,0.000000E+00,7.670251E-01,0.000000E+00
00:50:00,1.744758E+04,0.000000E+00,9.005427E-01,0.000000E+00,1.467202E+04,0.000000E+00,7.572844E-01,0.000000E+00,1.429962E+04,0.000000E+00,7.380632E-01,0.000000E+00,1.877491E+04,0.000000E+00,9.690516E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670595E+04,0.000000E+00,8.622639E-01,0.000000E+00,1.523129E+04,0.000000E+00,7.861507E-01,0.000000E+00,1.523986E+04,0.000000E+00,7.865928E-01,0.000000E+00,1.500960E+04,0.000000E+00,7.747081E-01,0.000000E+00,1.498712E+04,0.000000E+00,7.735481E-01,0.000000E+00,1.431415E+04,0.000000E+00,7.388130E-01,0.000000E+00,1.470130E+04,0.000000E+00,7.587953E-01,0.000000E+00,1.510155E+04,0.000000E+00,7.794544E-01,0.000000E+00,1.486075E+04,0.000000E+00,7.670256E-01,0.000000E+00
01:00:00,1.744761E+04,0.000000E+00,9.005443E-01,0.000000E+00,1.467203E+04,0.000000E+00,7.572847E-01,0.000000E+00,1.429963E+04,0.000000E+00,7.380635E-01,0.000000E+00,1.877538E+04,0.000000E+00,9.690761E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670597E+04,0.000000E+00,8.622648E-01,0.000000E+00,1.523154E+04,0.000000E+00,7.861637E-01,0.000000E+00,1.523987E+04,0.000000E+00,7.865933E-01,0.000000E+00,1.500960E+04,0.000000E+00,7.747082E-01,0.000000E+00,1.498712E+04,0.000000E+00,7.735481E-01,0.000000E+00,1.431415E+04,0.000000E+00,7.388131E-01,0.000000E+00,1.470130E+04,0.000000E+00,7.587954E-01,0.000000E+00,1.510156E+04,0.000000E+00,7.794548E-01,0.000000E+00,1.486076E+04,0.000000E+00,7.670260E-01,0.000000E+00
01:10:00,1.744764E+04,0.000000E+00,9.005459E-01,0.000000E+00,1.467203E+04,0.000000E+00,7.572849E-01,0.000000E+00,1.429963E+04,0.000000E+00,7.380638E-01,0.000000E+00,1.877583E+04,0.000000E+00,9.690992E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670599E+04,0.000000E+00,8.622658E-01,0.000000E+00,1.523178E+04,0.000000E+00,7.861759E-01,0.000000E+00,1.523988E+04,0.000000E+00,7.865938E-01,0.000000E+00,1.500960E+04,0.000000E+00,7.747084E-01,0.000000E+00,1.498712E+04,0.000000E+00,7.735481E-01,0.000000E+00,1.431415E+04,0.000000E+00,7.388132E-01,0.000000E+00,1.470130E+04,0.000000E+00,7.587954E-01,0.000000E+00,1.510157E+04,0.000000E+00,7.794553E-01,0.000000E+00,1.486077E+04,0.000000E+00,7.670265E-01,0.000000E+00
01:20:00,1.744767E+04,0.000000E+00,9.005473E-01,0.000000E+00,1.467204E+04,0.000000E+00,7.572851E-01,0.000000E+00,1.429964E+04,0.000000E+00,7.380640E-01,0.000000E+00,1.877625E+04,0.000000E+00,9.691210E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670600E+04,0.000000E+00,8.622667E-01,0.000000E+00,1.523200E+04,0.000000E+00,7.861874E-01,0.000000E+00,1.523989E+04,0.000000E+00,7.865942E-01,0.000000E+00,1.500961E+04,0.000000E+00,7.747086E-01,0.000000E+00,1.498712E+04,0.000000E+00,7.735482E-01,0.000000E+00,1.431415E+04,0.000000E+00,7.388132E-01,0.000000E+00,1.470130E+04,0.000000E+00,7.587955E-01,0.000000E+00,1.510158E+04,0.000000E+00,7.794557E-01,0.000000E+00,1.486078E+04,0.000000E+00,7.670269E-01,0.000000E+00
01:30:00,1.744770E+04,0.000000E+00,9.005487E-01,0.000000E+00,1.467204E+04,0.000000E+00,7.572853E-01,0.000000E+00,1.429964E+04,0.000000E+00,7.380643E-01,0.000000E+00,1.877665E+04,0.000000E+00,9.691415E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670602E+04,0.000000E+00,8.622676E-01,0.000000E+00,1.523221E+04,0.000000E+00,7.861982E-01,0.000000E+00,1.523989E+04,0.000000E+00,7.865947E-01,0.000000E+00,1.500961E+04,0.000000E+00,7.747087E-01,0.000000E+00,1.498713E+04,0.000000E+00,7.735482E-01,0.000000E+00,1.431415E+04,0.000000E+00,7.388133E-01,0.000000E+00,1.470130E+04,0.000000E+00,7.587955E-01,0.000000E+00,1.510159E+04,0.000000E+00,7.794561E-01,0.000000E+00,1.486079E+04,0.000000E+00,7.670273E-01,0.000000E+00
01:40:00,1.744773E+04,0.000000E+00,9.005500E-01,0.000000E+00,1.467204E+04,0.000000E+00,7.572856E-01,0.000000E+00,1.429965E+04,0.000000E+00,7.380645E-01,0.000000E+00,1.877703E+04,0.000000E+00,9.691609E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.670604E+04,0.000000E+00,8.622684E-01,0.000000E+00,1.523241E+04,0.000000E+00,7.862084E-01,0.000000E+00,1.523990E+04,0.000000E+00,7.865951E-01,0.000000E+00,1.500961E+04,0.000000E+00,7.747089E-01,0.000000E+00,1.498713E+04,0.000000E+00,7.735482E-01,0.000000E+00,1.431415E+04,0.000000E+00,7.388133E-01,0.000000E+00,1.470130E+04,0.000000E+00,7.587955E-01,0.000000E+00,1.510159E+04,0.000000E+00,7.794565E-01,0.000000E+00,1.486079E+04,0.000000E+00,7.670277E-01,0.000000E+00
